1,ㄱㅇ - 계절,가을,단풍이 나는 계절은 가을이다
2,ㅇㅅㅇ - 동물,원숭이,원숭이 엉덩이가 빨개
3,ㅂㄴㄴ - 과일,바나나,바나나
4,ㅎㄹㅇㄹ - 사자성어,희로애락,기쁨 희 노여움 로 슬픔 애 즐거움 락
5,ㅇㅈㅇ - 동물,오징어,.
6,ㅅㅌㅇㅋ - 음식,스테이크,.
7,ㅇㅈㅅㅈ - 사자성어,역지사지,.
8,ㅇㅂㄱㅎ - 사자성어,아비규환,.
9,ㅇㅊㅇㅈ - 사자성어,일취월장,.
10,ㄱㅇㅇ - 동물,고양이,.
11,ㄸㄱ - 과일,딸기,.
12,ㅂㄷㅉㄱ - 음식,부대찌개,.
13,ㅃㄹㄹ - 캐릭터,뽀로로,.
14,ㅌㄴㅅ - 스포츠,테니스,.
15,ㅁㄹㄴ - 아이스크림,메로나,.
16,ㄹㄱ ㅇㅂ ㄹㅈㄷ - 게임,리그 오브 레전드,.
17,ㅈㅁ - 식물,장미,.
18,ㅅㅁㄱ - 곤충,사마귀,.
19,ㅊㅋ - 음식,치킨,.
20,ㅍㅈ - 음식,피자,.
21,ㄸㅂㅇ - 음식,떡볶이,.
22,ㅂㅆ - 음식,보쌈,.
23,ㄷㄲㅅ - 음식,돈까스,.
24,ㅇㄷ - 음식,우동,.
25,ㄴㅍㄹㅇ - 인물,나폴레옹,.
26,ㅂㅌㅋㅇ - 암호화폐,비트코인,.
27,ㅇㅈ - 가구,의자,.
28,ㅍㅇㄴ - 악기,피아노,.
29,ㅊㄹ - 악기,첼로,.
30,ㅂㅇㄹ - 악기,비올라,.
31,ㅋㄹㄹㄴ - 악기,클라리넷,.
32,ㅂㅅ - 악기,바순,.